layer,component,cache,numel,mean,std,min,max,abs_mean,rms,p01_estimate,p50_estimate,p99_estimate,zero_fraction,reservoir_values
0,K,fused,7825592320,0.07939733782714915,20.106374000985575,-544.0,532.0,3.436983326995525,20.106530765021667,-28.001251220703125,0.032958984375,11.816162109375,0.00043114014403449017,10000
0,K,receiver,7825592320,0.07939733782714915,20.106374000985575,-544.0,532.0,3.436983326995525,20.106530765021667,-20.62874984741211,0.03662109375,15.0704345703125,0.00043114014403449017,10000
0,K,residual,7825592320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10000
0,V,fused,7825592320,-0.002828305605736524,0.14580145309135928,-2.484375,2.296875,0.1009191295862531,0.145828882722701,-0.41019532084465027,-0.001708984375,0.365234375,0.0,10000
0,V,receiver,7825592320,-0.002828305605736524,0.14580145309135928,-2.484375,2.296875,0.1009191295862531,0.145828882722701,-0.39455080032348633,-0.000637054443359375,0.365234375,0.0,10000
0,V,residual,7825592320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10000
1,K,fused,7825592320,0.04458839305032239,11.227608248809483,-198.0,239.0,2.4649399267658922,11.227696785785122,-7.906562805175781,-0.0360107421875,10.0,0.0003960325139963335,10000
1,K,receiver,7825592320,0.04458839305032239,11.227608248809483,-198.0,239.0,2.4649399267658922,11.227696785785122,-7.813437461853027,-0.01690673828125,9.7506103515625,0.0003960325139963335,10000
1,K,residual,7825592320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10000
1,V,fused,7825592320,-0.0008802377896011447,0.10411090587674939,-1.328125,1.1328125,0.07807144091542453,0.10411462693129919,-0.28515625,0.001026153564453125,0.2754096984863281,3.961361483241693e-09,10000
1,V,receiver,7825592320,-0.0008802377896011447,0.10411090587674939,-1.328125,1.1328125,0.07807144091542453,0.10411462693129919,-0.279296875,0.0020751953125,0.275390625,3.961361483241693e-09,10000
1,V,residual,7825592320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10000
2,K,fused,7825592320,0.317594225904998,10.652039241297453,-223.0,232.0,2.3604341628874494,10.65677278027776,-8.064374923706055,-0.023193359375,9.0625,0.00039473919336498225,10000
2,K,receiver,7825592320,0.317594225904998,10.652039241297453,-223.0,232.0,2.3604341628874494,10.65677278027776,-7.814375400543213,0.0028076171875,9.875,0.00039473919336498225,10000
2,K,residual,7825592320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10000
2,V,fused,7825592320,-0.0005014037605076337,0.17823654225965926,-5.28125,5.0,0.13366440711476316,0.17823724751692716,-0.47072267532348633,0.000682830810546875,0.4609565734863281,1.831707992680099e-05,10000
2,V,receiver,7825592320,0.0002591152584248752,0.1370704761646749,-5.34375,5.125,0.1027094058461824,0.13707072107758045,-0.3515625,0.001171112060546875,0.3554878234863281,3.5780039203473356e-09,10000
2,V,residual,7825592320,-0.000760510815032495,0.11199087447805123,-3.140625,3.390625,0.07082884319546254,0.11199345669751608,-0.33205080032348633,-0.00048828125,0.3183784484863281,0.006992116093264618,10000
3,K,fused,7825592320,-0.05121105908173998,5.425522190345259,-113.0,118.5,1.837104320137848,5.425763873456076,-9.0625,0.02587890625,7.46875,7.259079910771534e-05,10000
3,K,receiver,7825592320,-0.04750018521564208,5.2901022409126846,-113.0,118.5,1.6398588728811747,5.290315490299697,-7.34375,0.00531005859375,7.0,0.0003488910344872144,10000
3,K,residual,7825592320,-0.003710711761130006,1.0671540874430894,-14.1875,10.25,0.2939756656289827,1.0671605388732601,-4.531562805175781,0.0,3.797027587890625,0.48118755105300454,10000
3,V,fused,7825592320,-0.0007054334649725398,0.35775990697529286,-4.3125,4.28125,0.26975283269074357,0.3577606024639154,-0.87890625,0.0001850128173828125,0.859375,3.7057897746454545e-09,10000
3,V,receiver,7825592320,-0.0007054334649725398,0.35775990697529286,-4.3125,4.28125,0.26975283269074357,0.3577606024639154,-0.8555078506469727,0.0059661865234375,0.8555068969726562,3.7057897746454545e-09,10000
3,V,residual,7825592320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10000
4,K,fused,7825592320,-0.005460373002973598,8.800614228862173,-148.0,148.0,3.2785746189458993,8.800615922816123,-15.375625610351562,0.08935546875,19.876220703125,6.540476159126061e-05,10000
4,K,receiver,7825592320,-0.03740604034437064,8.743929557257273,-152.0,148.0,3.06286302815695,8.744009567362767,-16.251251220703125,0.0411376953125,17.251220703125,0.0003777181175724728,10000
4,K,residual,7825592320,0.03194450701317537,1.3551519134520131,-15.8125,26.0,0.3785401786563054,1.355528369330929,-5.0,0.0,4.8756103515625,0.7739649789218767,10000
4,V,fused,7825592320,-0.0023045180932190937,0.35821240745618316,-4.1875,4.09375,0.2736216977531357,0.3582198203047907,-0.8555078506469727,-0.001804351806640625,0.90234375,3.4502180660492162e-09,10000
4,V,receiver,7825592320,-0.0023045180932190937,0.35821240745618316,-4.1875,4.09375,0.2736216977531357,0.3582198203047907,-0.8789453506469727,-0.0040130615234375,0.9258193969726562,3.4502180660492162e-09,10000
4,V,residual,7825592320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10000
5,K,fused,7825592320,0.18308811663170454,9.977423223443902,-142.0,161.0,3.4653071628742906,9.979102937547514,-18.501251220703125,0.0272216796875,21.378662109375,7.734404953004247e-05,10000
5,K,receiver,7825592320,0.13963942352142666,9.549850560534114,-142.0,153.0,2.752290265785069,9.550871420825176,-16.5,-0.00049591064453125,18.63232421875,0.00037784219763699627,10000
5,K,residual,7825592320,0.04344705398274708,2.5621298184605084,-23.25,17.625,1.0363804450461371,2.5624981664665163,-9.375625610351562,0.0,8.375,0.46457028124358,10000
5,V,fused,7825592320,0.004129037612678538,0.43304976613231116,-12.125,4.96875,0.3268095873666545,0.43306945043359535,-1.0469532012939453,-0.0005779266357421875,1.093902587890625,3.5780039203473356e-09,10000
5,V,receiver,7825592320,0.004129037612678538,0.43304976613231116,-12.125,4.96875,0.3268095873666545,0.43306945043359535,-1.078125,0.00238037109375,1.09375,3.5780039203473356e-09,10000
