subject,length_bucket,metric,num_samples,correctness_score,aggregate_compression_factor,aggregate_space_saving_ratio,mean_sample_compression_factor,avg_encode_seconds,avg_decode_seconds,total_original_kv_bytes,total_payload_bytes
2wikimqa,0-4k,f1,9,0.4444444444444444,6.293233622918728,0.8410991773198765,6.291269552679073,0.07618196944369832,0.060033177439537316,364990464,57997285
2wikimqa,4k-8k,f1,38,0.3736842105263158,6.210624862239126,0.8389856057672966,6.22447541018753,0.10600465907574337,0.10224965039953149,2726006784,438926331
2wikimqa,8k+,f1,42,0.22602186173614744,6.015040994407056,0.8337500939844257,6.02017054722335,0.19413453624223448,0.19427459928556345,5939281920,987405061
2wikimqa,ALL,f1,89,0.31115638419009206,6.083746348046875,0.8356275980636438,6.134816343197961,0.14457826170837507,0.1414080728329404,9030279168,1484328677
gov_report,0-4k,rouge_l,23,0.1383928692033616,6.357821485484405,0.8427134196386123,6.358145684333752,0.07337660538842497,0.05691209318035323,887402496,139576504
gov_report,4k-8k,rouge_l,31,0.12716239907826438,6.264884653892052,0.8403801418149413,6.268898928055728,0.10721660309448658,0.1027567659339477,2297229312,366683417
gov_report,8k+,rouge_l,36,0.13507853728690444,6.04423570332362,0.8345531099242014,6.047432940037082,0.1872859372168831,0.18504128111332344,4916170752,813365162
gov_report,ALL,rouge_l,90,0.13319886339368972,6.1387152035514925,0.837099463512909,6.203120037230432,0.13059633732967388,0.12395471119089052,8100802560,1319625083
hotpotqa,0-4k,f1,11,0.606060606060606,6.318977476115581,0.8417465477951469,6.311396188285524,0.07524576364085078,0.059770777911498124,449875968,71194425
hotpotqa,4k-8k,f1,32,0.525421626984127,6.233418978028437,0.8395743967275742,6.236357310610376,0.10531679915584391,0.10072443781245966,2295435264,368246587
hotpotqa,8k+,f1,50,0.2581886087768441,6.022680538831055,0.8339609757561389,6.026615784487514,0.18997752245748414,0.19028435938293115,6902317056,1146053989
hotpotqa,ALL,f1,93,0.3912859050430208,6.084931382259212,0.8356596094221328,6.1324686154306285,0.1472765279130169,0.14403095200184673,9647628288,1585495001
lcc,0-4k,em,25,0.08,6.328989208549146,0.84199688654087,6.299852310695494,0.061493775716517124,0.04466101271566004,686395392,108452609
lcc,4k-8k,em,2,0.5,6.3310560808220915,0.8420484691283686,6.33168899702432,0.12103025600663386,0.1222526035271585,169316352,26743777
lcc,8k+,em,57,0.05263157894736842,6.162367492420435,0.8377247054431635,6.164201786047368,0.1959927465037541,0.19582366147650437,8184188928,1328091669
lcc,ALL,em,84,0.07142857142857142,6.177799812628143,0.8381300737592883,6.208561756739714,0.15417846971000213,0.14908308606079249,9039900672,1463288055
multi_news,0-4k,rouge_l,22,0.11421286492943468,6.168936200943918,0.8378974968411914,6.0937755486306315,0.05145195649608716,0.03367868914078413,402075648,65177469
multi_news,4k-8k,rouge_l,21,0.06300988511512687,6.2065095905956165,0.8388788439938536,6.213585607960478,0.1095275238594262,0.1043770238119621,1602797568,258244597
multi_news,8k+,rouge_l,32,0.06253011818817288,6.028159927637713,0.8341118994844128,6.03177577660505,0.18976188619126333,0.1830409414069436,4440637440,736648910
multi_news,ALL,rouge_l,75,0.07782472530515679,6.080263304935537,0.8355334382989188,6.100869129178741,0.12672535202776392,0.117202117148942,6445510656,1060070976
multifieldqa_en,0-4k,f1,6,0.7873015873015873,6.298132997489633,0.8412227877057235,6.262522191317988,0.06194462783363027,0.045345549820922315,166748160,26475808
multifieldqa_en,4k-8k,f1,12,0.33739878179349625,6.292322390084984,0.8410761658404959,6.300637669250886,0.11116430850233883,0.1067890434981867,934625280,148534233
multifieldqa_en,8k+,f1,16,0.3316578266635475,6.0797864410818,0.8355205384776532,6.086179833007778,0.17073102281574393,0.1671100836210826,1970184192,324054835
multifieldqa_en,ALL,f1,34,0.4140917685867129,6.1546259408566355,0.8375205886418478,6.192990073736559,0.13050987747299267,0.12433244584826753,3071557632,499064876
passage_count,0-4k,em,9,0.0,6.526992281361855,0.8467900746787231,6.512542800191426,0.07527824710511292,0.055298572218614735,363429888,55681066
passage_count,4k-8k,em,21,0.047619047619047616,6.325806211074685,0.8419173830761232,6.331058975788631,0.10444759881024115,0.09646846804701324,1486970880,235064248
passage_count,8k+,em,30,0.0,6.123079058462053,0.8366834740410534,6.128209973512914,0.18971539873746224,0.18532458499539645,4136165376,675504160
passage_count,ALL,em,60,0.016666666666666666,6.195673379481705,0.8385970436544132,6.256857048311192,0.14270609601808246,0.13472104214694505,5986566144,966249474
passage_retrieval_en,0-4k,em,3,1.0,6.353575584686337,0.8426083098137302,6.353085563064266,0.08243337267776951,0.06846169834413256,141090816,22206522
passage_retrieval_en,4k-8k,em,34,0.7647058823529411,6.277673130164832,0.8407053092339417,6.286651846896317,0.10085856091053061,0.09616839579094257,2296786944,365865966
passage_retrieval_en,8k+,em,31,0.8064516129032258,6.0819917284902365,0.8355801775731393,6.086660009112287,0.18356684363642406,0.18560016212511748,4186865664,688403709
passage_retrieval_en,ALL,em,68,0.7941176470588235,6.154101170524999,0.8375067337551275,6.198409996561008,0.13775093149588963,0.13571640555592773,6624743424,1076476197
qasper,0-4k,f1,9,0.3517330164388988,6.334825262785034,0.8421424493151116,6.334503810562457,0.0753816756639733,0.059095725113163806,366120960,57794958
qasper,4k-8k,f1,32,0.35675628456276276,6.260388834618193,0.8402655128272096,6.263357619821878,0.10637072781355528,0.10055275234299188,2289967104,365786721
qasper,8k+,f1,7,0.29788359788359786,6.085931384830639,0.8356866128177967,6.090525401513224,0.17537422943028755,0.17774796613957733,906240000,148907364
qasper,ALL,f1,48,0.3472288216488267,6.222526190776371,0.8392935651307829,6.251492832082391,0.11062329118794878,0.1040371950827345,3562328064,572489043
repobench-p,0-4k,em,1,0.0,6.487057519307269,0.8458469040819008,6.487057519307269,0.0831356419948861,0.07104928197804838,49680384,7658385
repobench-p,4k-8k,em,17,0.058823529411764705,6.324812390788666,0.8418925434916646,6.338052065359952,0.10898241830428186,0.10549630970447599,1279229952,202255794
repobench-p,8k+,em,55,0.03636363636363636,6.147215898869393,0.8373247309918102,6.149875992357404,0.19572805127615786,0.1980646418037147,7853322240,1277541308
repobench-p,ALL,em,73,0.0410958904109589,6.173114191483701,0.8380072085205261,6.198316742603887,0.17398465168981314,0.17476769652271848,9182232576,1487455487
samsum,0-4k,rouge_l,19,0.3220060957645143,6.4385812086518355,0.8446862798505591,6.424248269514198,0.07157311495393515,0.056866675014852694,704372736,109398750
samsum,4k-8k,rouge_l,13,0.30657026775028917,6.360105081621164,0.8427698933953613,6.36964566061234,0.10534514976181807,0.10575957268995878,946360320,148796334
samsum,8k+,rouge_l,49,0.22667146944605124,6.1679053501019165,0.8378704044180126,6.170348724492185,0.18991709611977317,0.1958341318199278,6778736640,1099033830
samsum,ALL,rouge_l,81,0.2618571765819264,6.210794368620414,0.8389900002079561,6.261891335911694,0.14858412149255912,0.14878041641269293,8429469696,1357228914
trec,0-4k,em,20,0.5,6.236146508460438,0.8396445627691199,6.204586059680926,0.06580229706305545,0.04820220434048679,626159616,100408099
trec,4k-8k,em,18,0.5555555555555556,6.240514373971707,0.8397567988672765,6.247397953209487,0.10456081911494645,0.09522142316887362,1270345728,203564266
